"min.date","max.date","scenario","model_name","temporalDriverUncertainty","spatialDriverUncertainty","rank.name","species","fcast_type","model_id"
"20130601","20170101","Legacy + 1 year current methods","env_cycl",TRUE,TRUE,"n_fixation","n_fixation","Functional","env_cycl_n_fixation_20130601_20170101"
"20130601","20180101","Legacy with covariate 2013-2018","cycl_only",TRUE,TRUE,"n_fixation","n_fixation","Functional","cycl_only_n_fixation_20130601_20180101"
"20130601","20180101","Legacy with covariate 2013-2018","env_cov",TRUE,TRUE,"n_fixation","n_fixation","Functional","env_cov_n_fixation_20130601_20180101"
"20130601","20180101","Legacy with covariate 2013-2018","env_cycl",TRUE,TRUE,"n_fixation","n_fixation","Functional","env_cycl_n_fixation_20130601_20180101"
"20151101","20180101","2 year current methods","cycl_only",TRUE,TRUE,"n_fixation","n_fixation","Functional","cycl_only_n_fixation_20151101_20180101"
"20151101","20180101","2 year current methods","env_cov",TRUE,TRUE,"n_fixation","n_fixation","Functional","env_cov_n_fixation_20151101_20180101"
"20151101","20180101","2 year current methods","env_cycl",TRUE,TRUE,"n_fixation","n_fixation","Functional","env_cycl_n_fixation_20151101_20180101"
"20151101","20180101","Legacy with covariate 2013-2018","cycl_only",TRUE,TRUE,"n_fixation","n_fixation","Functional","cycl_only_n_fixation_20130601_20180101"
"20151101","20180101","Legacy with covariate 2013-2018","env_cov",TRUE,TRUE,"n_fixation","n_fixation","Functional","env_cov_n_fixation_20130601_20180101"
"20151101","20180101","Legacy with covariate 2013-2018","env_cycl",TRUE,TRUE,"n_fixation","n_fixation","Functional","env_cycl_n_fixation_20130601_20180101"
"20151101","20200101","Full dataset","cycl_only",TRUE,TRUE,"n_fixation","n_fixation","Functional","cycl_only_n_fixation_20151101_20200101"
"20151101","20200101","Full dataset","env_cov",TRUE,TRUE,"n_fixation","n_fixation","Functional","env_cov_n_fixation_20151101_20200101"
"20151101","20200101","Full dataset","env_cycl",TRUE,TRUE,"n_fixation","n_fixation","Functional","env_cycl_n_fixation_20151101_20200101"
"20130601","20151101","Legacy only","cycl_only",TRUE,TRUE,"dissim_nitrate_reduction","dissim_nitrate_reduction","Functional","cycl_only_dissim_nitrate_reduction_20130601_20151101"
"20130601","20151101","Legacy only","env_cov",TRUE,TRUE,"dissim_nitrate_reduction","dissim_nitrate_reduction","Functional","env_cov_dissim_nitrate_reduction_20130601_20151101"
"20130601","20151101","Legacy only","env_cycl",TRUE,TRUE,"dissim_nitrate_reduction","dissim_nitrate_reduction","Functional","env_cycl_dissim_nitrate_reduction_20130601_20151101"
"20130601","20170101","Legacy + 1 year current methods","cycl_only",TRUE,TRUE,"dissim_nitrate_reduction","dissim_nitrate_reduction","Functional","cycl_only_dissim_nitrate_reduction_20130601_20170101"
"20130601","20170101","Legacy + 1 year current methods","env_cov",TRUE,TRUE,"dissim_nitrate_reduction","dissim_nitrate_reduction","Functional","env_cov_dissim_nitrate_reduction_20130601_20170101"
"20130601","20170101","Legacy + 1 year current methods","env_cycl",TRUE,TRUE,"dissim_nitrate_reduction","dissim_nitrate_reduction","Functional","env_cycl_dissim_nitrate_reduction_20130601_20170101"
"20130601","20180101","Legacy with covariate 2013-2018","cycl_only",TRUE,TRUE,"dissim_nitrate_reduction","dissim_nitrate_reduction","Functional","cycl_only_dissim_nitrate_reduction_20130601_20180101"
