"","geoid_2010","HVI_cat","MEAN","asthma","current_percent","potential_percent","neighborhood"
"146",25025091900,18,36.25,14,30.9,14.5,"Dorchester"
"147",25025092000,19,36.15,13.6,20.1,12.2,"Dorchester"
"148",25025092101,18,36.32,11.9,17.3,13.2,"Dorchester"
"149",25025092200,18,35.96,11.6,29.5,14.7,"Dorchester"
"150",25025092300,18,35.96,14.6,23.5,13.7,"Dorchester"
"151",25025092400,17,29.72,15,21.2,16.7,"Roxbury"
"152",25025100100,18,29.72,14.3,19.3,29.6,"Roxbury"
"153",25025100200,17,35.74,14.7,26.6,16.6,"Mattapan"
"154",25025100300,18,35.96,14,29.3,15.8,"Mattapan"
"155",25025100400,19,32.84,13.3,26.5,16.3,"Mattapan"
"156",25025100500,19,32.84,13.5,25.9,14.5,"Dorchester"
"157",25025100601,18,32.84,11.3,21.9,14.4,"Dorchester"
"158",25025100603,16,36.32,10.1,16.7,21.1,"Dorchester"
"159",25025100700,16,32.84,10.6,17.7,22.2,"Dorchester"
"160",25025100800,18,32.84,10.5,29.6,21.6,"Mattapan"
"161",25025100900,18,32.84,12.4,32.2,17.8,"Mattapan"
"162",25025101001,20,34.38,14.6,41.7,14.8,"Roslindale"
"163",25025101002,21,35.74,14.2,33.1,20.7,"Mattapan"
"164",25025101101,18,36.92,14.4,23.1,17.4,"Mattapan"
"165",25025101102,20,35.74,15,23.7,18.5,"Mattapan"
"166",25025110103,16,29.72,10.9,32.9,11.6,"Roslindale"
"167",25025110201,18,34.38,12.3,32,15.6,"Roslindale"
"168",25025110301,17,35.29,11,29.7,24.4,"Roslindale"
"169",25025110401,18,34.57,11.2,32.2,19.8,"Roslindale"
"170",25025110403,18,34.38,11.2,37.3,20.4,"Roslindale"
"171",25025110501,16,34.57,10.4,29.2,20.4,"Roslindale"
"172",25025110502,17,34.57,10.6,28,17.9,"Roslindale"
"173",25025110601,16,34.57,9.6,54.6,15.3,"Roslindale"
"174",25025110607,17,34.57,9.9,33.5,19.4,"Roslindale"
"175",25025120103,17,34.6,9.4,39,15.4,"Jamaica Plain"
"176",25025120104,16,36.42,10.2,37.3,11.6,"Jamaica Plain"
"177",25025120105,18,34.6,9.7,58.7,17.8,"Jamaica Plain"
"178",25025120201,17,29.72,10.9,27.2,11,"Jamaica Plain"
"179",25025120301,17,29.72,10.2,29.4,12.5,"Jamaica Plain"
"180",25025120400,16,36.42,9.9,39.1,14.2,"Jamaica Plain"
"181",25025120500,18,36.59,10.4,26.1,8.1,"Jamaica Plain"
"182",25025120600,17,36.59,9.9,35.3,12.5,"Jamaica Plain"
"183",25025120700,17,36.59,9.6,25,13,"Jamaica Plain"
"184",25025130100,16,35.92,9.6,41.9,27.5,"West Roxbury"
"185",25025130200,16,34.57,9.9,32.4,20.8,"Roslindale"
"186",25025130300,16,34.57,9.8,35.5,22,"Roslindale"
"187",25025130402,17,35.92,10.2,29.3,21.6,"West Roxbury"
"188",25025130404,16,35.92,10.3,47.7,18.9,"West Roxbury"
"189",25025130406,19,34.68,11.9,39.8,20,"West Roxbury"
"190",25025140102,17,35.91,11.3,34.2,20,"West Roxbury"
"191",25025140105,18,34.38,11.3,40.4,15.5,"Roslindale"
"192",25025140106,18,36.13,12.7,32.9,15.1,"Roslindale"
"193",25025140107,19,35.91,11.3,34.7,20.5,"Hyde Park"
"194",25025140201,17,35.91,11.1,29.2,18.6,"Hyde Park"
"195",25025140202,18,35.91,11.6,40.8,21.7,"Hyde Park"
"196",25025140300,19,34.38,12.4,31.5,17.6,"Hyde Park"
"197",25025140400,19,34.38,12.9,35.2,18.3,"Roslindale"
"201",25025980101,NA,28.84,12.8,29.5,36.3,"Harbor Islands"
"202",25025980300,NA,29.72,14.1,56.9,29.9,"Jamaica Plain"
"205",25025981100,12,29.72,11.5,43.1,44.2,"Roslindale"
"207",25025981202,NA,32.58,7.7,2.8,5.1,"South Boston Waterfront"
"208",25025981300,13,37.24,9.1,1.3,31,"East Boston"
"213",25025981800,14,38.28,9.4,61.2,22.1,"Jamaica Plain"
